slug,name,location,latitude,longitude,span_delta,fare_link,mdb_static_id,gtfs_static_url,gtfs_vehicle_positions_url,gtfs_trip_updates_url,gtfs_alerts_url,rt_agency_code,enabled
muni,Muni,"San Francisco, CA",37.7749,-122.4194,0.1,https://www.sfmta.com/fares,mdb-2886,https://files.mobilitydatabase.org/mdb-2886/latest.zip,https://api.511.org/transit/vehiclepositions,,,SF,TRUE
madison,Madison,"Madison, WI",43.0731,-89.4012,0.15,https://www.cityofmadison.com/metro/fares,mdb-394,https://files.mobilitydatabase.org/mdb-394/latest.zip,https://metromap.cityofmadison.com/gtfsrt/vehicles,,,,TRUE
minneapolis,Metro Transit,"Minneapolis–St. Paul, MN",44.9778,-93.265,0.28,https://www.metrotransit.org/fares,mdb-205,https://files.mobilitydatabase.org/mdb-205/latest.zip,https://svc.metrotransit.org/mtgtfs/vehiclepositions.pb,https://svc.metrotransit.org/mtgtfs/tripupdates.pb,https://svc.metrotransit.org/mtgtfs/alerts.pb,,TRUE
louisville,TARC,"Louisville, KY",38.2527,-85.7585,0.2,https://www.ridetarc.org/fares/,mdb-2662,https://files.mobilitydatabase.org/mdb-2662/latest.zip,https://tarc.rideralerts.com/InfoPoint/GTFS-realtime.ashx?Type=VehiclePosition,https://tarc.rideralerts.com/InfoPoint/GTFS-Realtime.ashx?Type=TripUpdate,https://tarc.rideralerts.com/InfoPoint/GTFS-Realtime.ashx?Type=Alert,,TRUE
ithaca,TCAT,"Ithaca, NY",42.4430,-76.5019,0.15,https://www.tcatbus.com/fares,mdb-535,https://files.mobilitydatabase.org/mdb-535/latest.zip,https://realtimetcatbus.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=VehiclePosition&serverid=0,https://realtimetcatbus.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=TripUpdate,https://realtimetcatbus.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=Alert,,TRUE
bline,B-Line,"Butte County, CA",39.7285,-121.8375,0.23,https://www.blinetransit.com/fares,ntd-90208,https://files.mobilitydatabase.org/ntd-90208/latest.zip,https://planmyride.blinetransit.com/gtfsrealtime/GTFS_VehiclePositions.pb,https://planmyride.blinetransit.com/gtfsrealtime/GTFS_TripUpdates.pb,https://planmyride.blinetransit.com/gtfsrealtime/GTFS_ServiceAlerts.pb,,TRUE
catabus,CATA,"State College, PA",40.7934,-77.8600,0.12,https://catabus.com/fares,ntd-30054,https://files.mobilitydatabase.org/ntd-30054/latest.zip,https://realtime.catabus.com/InfoPoint/GTFS-Realtime.ashx?Type=VehiclePosition,https://realtime.catabus.com/InfoPoint/GTFS-Realtime.ashx?Type=TripUpdate,https://realtime.catabus.com/InfoPoint/GTFS-Realtime.ashx?Type=Alert,,TRUE
citybus,CityBus,"Lafayette, IN",40.4167,-86.8753,0.12,https://gocitybus.com/fares,mdb-391,https://files.mobilitydatabase.org/mdb-391/latest.zip,https://bus.gocitybus.com/GTFSRT/GTFS_VehiclePositions.pb,https://bus.gocitybus.com/GTFSRT/GTFS_TripUpdates.pb,,,TRUE
kalamazoo,Kalamazoo Metro,"Kalamazoo, MI",42.2917,-85.5872,0.12,https://www.kmetro.org/fares,tld-674,https://files.mobilitydatabase.org/tld-674/latest.zip,https://trackmybus.kmetro.org/InfoPoint/GTFS-Realtime.ashx?Type=VehiclePosition,https://trackmybus.kmetro.org/InfoPoint/GTFS-Realtime.ashx?Type=TripUpdate,https://trackmybus.kmetro.org/InfoPoint/GTFS-Realtime.ashx?Type=Alert,,TRUE
mauibus,Maui Bus,"Maui, HI",20.7984,-156.3319,0.35,https://www.mauicounty.gov/1638/Maui-Bus,ntd-90241,https://files.mobilitydatabase.org/ntd-90241/latest.zip,https://mauibus.org/gtfs-rt/vehiclepositions,https://mauibus.org/gtfs-rt/tripupdates,https://mauibus.org/gtfs-rt/alerts,,TRUE
rtd,RTD,"Denver, CO",39.7392,-104.9903,0.4,https://www.rtd-denver.com/fares-passes,mdb-178,https://files.mobilitydatabase.org/mdb-178/latest.zip,https://www.rtd-denver.com/files/gtfs-rt/VehiclePosition.pb,https://www.rtd-denver.com/files/gtfs-rt/TripUpdate.pb,https://www.rtd-denver.com/files/gtfs-rt/Alerts.pb,,TRUE
santacruz,Santa Cruz METRO,"Santa Cruz, CA",36.9741,-122.0308,0.2,https://www.scmtd.com/en/fares,mdb-2425,https://files.mobilitydatabase.org/mdb-2425/latest.zip,https://rt.scmetro.org/gtfsrt/vehicles,https://rt.scmetro.org/gtfsrt/tripupdates,https://rt.scmetro.org/gtfsrt/alerts,,TRUE
bigbluebus,Big Blue Bus,"Santa Monica, CA",34.0195,-118.4912,0.16,https://bigbluebus.com/fares,mdb-37,https://files.mobilitydatabase.org/mdb-37/latest.zip,http://gtfs.bigbluebus.com/vehiclepositions.bin,http://gtfs.bigbluebus.com/tripupdates.bin,http://gtfs.bigbluebus.com/alerts.bin,,TRUE
jta,JTA,"Jacksonville, FL",30.3322,-81.6557,0.35,https://www.jtafla.com/fares,tld-764,https://files.mobilitydatabase.org/tld-764/latest.zip,https://bustime.jtafla.com/gtfsrt/vehicles,,,,TRUE
austin,Capital Metro,"Austin, Texas",30.3676,-97.6814,0.31,https://www.capmetro.org/fares,mdb-150,https://files.mobilitydatabase.org/mdb-150/latest.zip,https://data.texas.gov/download/eiei-9rpf/application%2Foctet-stream,https://data.texas.gov/download/rmk2-acnw/application%2Foctet-stream,https://data.texas.gov/download/9zu9-jwr2/text%2Fplain,,FALSE
